"species";"45";"46"
"Acanthisitta_chloris";496;4
"Anthornis_melanura";260;851
"Anthus_novaeseelandiae";211;359
"Branta_canadensis";64;1695
"Carduelis_carduelis";253;962
"Cyanoramphus_auriceps";98;1
"Cyanoramphus_malherbi";29;0
"Finschia_novaeseelandiae";338;18
"Fringilla_coelebs";273;940
"Gallirallus_australis";70;0
"Gerygone_igata";182;451
"Hemiphaga_novaeseelandiae";32;304
"Hymenolaimus_malacorhynchos";25;0
"Meleagris_gallopavo";5;8
"Mohoua_ochrocephala";40;0
"Nestor_meridionalis";40;0
"Nestor_notabilis";1067;0
"Passer_domesticus";155;1012
"Petroica_australis";377;2
"Petroica_macrocephala";391;42
"Phasianus_colchicus";48;267
"Porphyrio_melanotus";70;837
"Prosthemadera_novaeseelandiae";2;5
"Rhipidura_fuliginosa";236;640
"Sturnus_vulgaris";156;1087
"Tadorna_variegata";143;1027
"Turdus_merula";168;927
"Turdus_philomelos";232;805
"Zosterops_lateralis";238;758
"Acridotheres_tristis";0;2
"Anas_chlorotis";0;10
"Cacatua_galerita";0;5
"Platycercus_eximius";0;4
