"cell_id";"guild";"record.type";"richness"
1;"birds";"GBIF";26
1;"birds";"TIER1";22
1;"plants";"GBIF";7
1;"plants";"NVS";26
2;"birds";"GBIF";30
2;"birds";"TIER1";25
2;"plants";"GBIF";18
2;"plants";"NVS";67
3;"birds";"GBIF";30
3;"plants";"GBIF";21
3;"plants";"NVS";30
4;"birds";"GBIF";31
4;"birds";"TIER1";21
4;"plants";"GBIF";29
4;"plants";"NVS";73
5;"birds";"GBIF";34
5;"birds";"TIER1";27
5;"plants";"GBIF";15
5;"plants";"NVS";63
6;"birds";"GBIF";19
6;"birds";"TIER1";13
6;"plants";"NVS";1
7;"birds";"GBIF";37
7;"birds";"TIER1";27
7;"plants";"GBIF";78
7;"plants";"NVS";105
8;"birds";"GBIF";35
8;"birds";"TIER1";21
8;"plants";"GBIF";73
8;"plants";"NVS";82
9;"birds";"GBIF";32
9;"birds";"TIER1";23
9;"plants";"GBIF";63
9;"plants";"NVS";65
10;"birds";"GBIF";34
10;"birds";"TIER1";27
10;"plants";"GBIF";83
10;"plants";"NVS";92
11;"birds";"GBIF";31
11;"plants";"GBIF";5
11;"plants";"NVS";33
12;"birds";"GBIF";28
12;"birds";"TIER1";15
12;"plants";"GBIF";15
12;"plants";"NVS";80
13;"birds";"GBIF";31
13;"birds";"TIER1";23
13;"plants";"GBIF";62
13;"plants";"NVS";69
14;"birds";"GBIF";36
14;"birds";"TIER1";28
14;"plants";"GBIF";60
14;"plants";"NVS";100
15;"birds";"GBIF";33
15;"birds";"TIER1";27
15;"plants";"GBIF";79
15;"plants";"NVS";87
16;"birds";"GBIF";30
16;"birds";"TIER1";18
16;"plants";"GBIF";45
16;"plants";"NVS";82
17;"birds";"GBIF";31
17;"birds";"TIER1";13
17;"plants";"GBIF";62
17;"plants";"NVS";28
18;"birds";"GBIF";34
18;"birds";"TIER1";26
18;"plants";"GBIF";85
18;"plants";"NVS";80
19;"birds";"GBIF";32
19;"birds";"TIER1";27
19;"plants";"GBIF";101
19;"plants";"NVS";89
20;"birds";"GBIF";35
20;"birds";"TIER1";28
20;"plants";"GBIF";82
20;"plants";"NVS";92
21;"birds";"GBIF";26
21;"plants";"GBIF";5
21;"plants";"NVS";6
22;"birds";"GBIF";27
22;"birds";"TIER1";21
22;"plants";"GBIF";17
22;"plants";"NVS";44
23;"birds";"GBIF";17
24;"birds";"GBIF";33
24;"plants";"GBIF";60
24;"plants";"NVS";7
25;"birds";"GBIF";32
25;"birds";"TIER1";21
25;"plants";"GBIF";77
25;"plants";"NVS";78
26;"birds";"GBIF";29
26;"plants";"GBIF";3
26;"plants";"NVS";18
27;"birds";"GBIF";32
27;"birds";"TIER1";24
27;"plants";"GBIF";100
27;"plants";"NVS";96
28;"birds";"GBIF";36
28;"birds";"TIER1";25
28;"plants";"GBIF";109
28;"plants";"NVS";105
29;"birds";"GBIF";40
29;"birds";"TIER1";28
29;"plants";"GBIF";98
29;"plants";"NVS";92
30;"birds";"GBIF";36
30;"birds";"TIER1";19
30;"plants";"GBIF";71
30;"plants";"NVS";86
31;"birds";"GBIF";28
31;"birds";"TIER1";23
31;"plants";"GBIF";71
31;"plants";"NVS";66
32;"birds";"GBIF";30
32;"birds";"TIER1";26
32;"plants";"GBIF";71
32;"plants";"NVS";93
33;"birds";"GBIF";28
33;"birds";"TIER1";24
33;"plants";"GBIF";105
33;"plants";"NVS";97
34;"birds";"GBIF";24
34;"plants";"GBIF";2
34;"plants";"NVS";29
35;"birds";"GBIF";16
35;"plants";"NVS";1
36;"birds";"GBIF";28
36;"birds";"TIER1";21
36;"plants";"GBIF";53
36;"plants";"NVS";56
37;"birds";"GBIF";30
37;"birds";"TIER1";28
37;"plants";"GBIF";114
37;"plants";"NVS";101
38;"birds";"GBIF";33
38;"birds";"TIER1";28
38;"plants";"GBIF";95
38;"plants";"NVS";93
39;"birds";"GBIF";26
39;"plants";"GBIF";5
39;"plants";"NVS";24
40;"birds";"GBIF";29
40;"birds";"TIER1";23
40;"plants";"GBIF";69
40;"plants";"NVS";76
41;"birds";"GBIF";30
41;"birds";"TIER1";27
41;"plants";"GBIF";81
41;"plants";"NVS";95
42;"birds";"GBIF";26
42;"birds";"TIER1";18
42;"plants";"GBIF";74
42;"plants";"NVS";81
43;"birds";"GBIF";31
43;"birds";"TIER1";15
43;"plants";"GBIF";109
43;"plants";"NVS";36
44;"birds";"GBIF";23
44;"plants";"GBIF";53
44;"plants";"NVS";40
45;"birds";"GBIF";26
45;"birds";"TIER1";23
45;"plants";"GBIF";14
45;"plants";"NVS";61
46;"birds";"GBIF";32
46;"birds";"TIER1";27
46;"plants";"GBIF";89
46;"plants";"NVS";92
47;"birds";"GBIF";30
47;"birds";"TIER1";18
47;"plants";"GBIF";25
47;"plants";"NVS";42
48;"birds";"GBIF";25
48;"birds";"TIER1";14
48;"plants";"GBIF";47
48;"plants";"NVS";15
49;"birds";"GBIF";34
49;"birds";"TIER1";28
49;"plants";"GBIF";64
49;"plants";"NVS";94
50;"birds";"GBIF";31
50;"birds";"TIER1";26
50;"plants";"GBIF";37
50;"plants";"NVS";72
51;"birds";"GBIF";32
51;"birds";"TIER1";23
51;"plants";"GBIF";43
51;"plants";"NVS";56
52;"birds";"GBIF";33
52;"birds";"TIER1";15
52;"plants";"GBIF";65
52;"plants";"NVS";60
53;"birds";"GBIF";32
53;"birds";"TIER1";25
53;"plants";"GBIF";16
53;"plants";"NVS";79
54;"birds";"GBIF";35
54;"birds";"TIER1";22
54;"plants";"GBIF";76
54;"plants";"NVS";66
55;"birds";"GBIF";34
55;"birds";"TIER1";19
55;"plants";"GBIF";14
55;"plants";"NVS";48
